А_Space	Данная переменная содержит один символ пробела. См. описание команды AutoTrim.
A_TitleMatchMode	Текущий режим (1, 2 или 3), устанавливаемый командой SetTitleMatchMode.
A_TitleMatchModeSpeed	Текущая скорость поиска соответствия (fast или slow), устанавливаемая командой SetTitleMatchMode.
A_DetectHiddenWindows	Текущий режим (On или Off), устанавливаемый командой DetectHiddenWindows.
A_DetectHiddenText	Текущий режим (On или Off), устанавливаемый командой DetectHiddenText.
A_AutoTrim	Текущий режим (On или Off), устанавливаемый командой AutoTrim.
A_StringCaseSense	Текущий режим (On или Off), устанавливаемый командой StringCaseSense.
A_FormatInteger	Текущий формат целого числа (H или D), устанавливаемый командой SetFormat.
A_FormatFloat	Текущий формат числа с плавающей запятой, устанавливаемый командой SetFormat.
A_KeyDelay	Текущая задержка, устанавливаемая командой SetKeyDelay (всегда десятичная, а не шестнадцатеричная).
A_WinDelay	Текущая задержка, устанавливаемая командой SetWinDelay (всегда десятичная, а не шестнадцатеричная).
A_ControlDelay	Текущая задержка, устанавливаемая командой SetControlDelay (всегда десятичная, а не шестнадцатеричная).
A_MouseDelay	Текущая задержка, устанавливаемая командой SetMouseDelay (всегда десятичная, а не шестнадцатеричная).
A_DefaultMouseSpeed	Текущая скорость, устанавливаемая командой SetDefaultMouseSpeed (всегда десятичная, а не шестнадцатеричная).
A_IconHidden	Если иконка в трее скрыта, значение 1, иначе 0. Иконку можно скрыть с помощью директивы #NoTrayIcon или команды Menu.
A_IconTip	Если с помощью команды Menu, Tray, Tip задана всплывающая пользовательская подсказка для иконки скрипта в трее, эта переменная содержит текст подсказки, иначе - пустое значение.
A_IconFile	Если с помощью команды Menu, tray, icon задана пользовательская иконка скрипта в трее, здесь содержится полный путь и имя файла иконки. Иначе - пусто.
A_IconNumber	Если переменная A_IconFile имеет пустое значение - пусто. Иначе - количество иконок в переменной A_IconFile (обычно 1).
A_TimeIdle	Количество миллисекунд, прошедшее с тех пор, когда система последний раз получила ввод клавиатуры, мыши или другого устройства. У переменной есть значение, если на компьютере стоит операционная система Windows 2000, XP, или выше. Иначе - пусто. При физическом вводе, поступившем от пользователя, и при искусственном вводе, сгенерированном любой программой или скриптом (например, командами Send или MouseMove), значение устанавливается назад на 0. Поскольку значение возрастает с шагом в 10, не проверяйте, равно ли оно какому-либо значению. Вместо этого проверяйте, больше оно или меньше этого значения.
A_TimeIdlePhysical	Аналогично переменной, описанной выше. Однако данная переменная игнорирует искусственные нажатия клавиш и/или клики мыши в тех случаях, когда установлен соответствующий обработчик прерываний (клавиатуры или мыши). Если ни один обработчик не установлен, переменная ведет себя равносильно переменной A_TimeIdle. Если же имеется только один обработчик прерываний, игнорируются только искусственный ввод этого типа. Переменная A_TimeIdlePhysical больше подходит для того, чтобы определить, действительно ли пользователь находится на месте, чем переменная A_TimeIdle.
A_Gui	Номер окна графического пользовательского интерфейса, запустившего текущий поток. Переменная имеет значение, если текущий поток запущен элементом управления графического пользовательского интерфейса, элементом меню или событием, подобным GuiClose/GuiEscape. Иначе - пусто.
A_GuiControl	Имя переменной, соответствующее элементу управления GUI, запустившего текущий поток. Если в этом управляющем элементе нет ассоциированной переменной, вместо нее переменная A_GuiControl содержит первые 63 символа текста/заголовка управляющего элемента. Переменная A_GuiControl не имеет значений в следующих случаях: 1) переменная A_Gui не имеет значения; 2) текущий поток запущен элементом меню графического пользовательского интерфейса или событием, подобным GuiClose/GuiEscape; 3) в элементе управления нет ассоциированной переменной и заголовка; 4) элемент управления, первоначально запустивший текущий поток, более не существует (возможно, благодаря Gui Destroy).
A_GuiWidth	Данная переменныя содержит неопределенные/случайные значения, кроме тех случаев, когда они упомянуты в процедуре GuiSize.
A_GuiHeight	Данная переменныя содержит неопределенные/случайные значения, кроме тех случаев, когда они упомянуты в процедуре GuiSize.
A_GuiX	Данная переменная содержит координату X для событий GuiContextMenu и GuiDropFiles.
A_GuiY	Данная переменная содержит координату Y для событий GuiContextMenu и GuiDropFiles.
A_GuiControlEvent	Тип события, запустившего текущий поток. Если поток не был запущен с помощью действия графического пользовательского интерфейса, эта переменная не содержит значения. Иначе, она содержит одну из нижеприведенных строк: Normal, DoubleClick, RightClick
A_GuiEvent	Тип события, запустившего текущий поток. Если поток не был запущен с помощью действия графического пользовательского интерфейса, эта переменная не содержит значения. Иначе, она содержит одну из нижеприведенных строк: Normal, DoubleClick, RightClick
A_EventInfo	Содержит дополнительную информацию о событии g-label. Если дополнительной информации нет, содержит 0. Данная переменная называется A_EventInfo, а не A_GuiEventInfo, поскольку используется также в событиях, не относящихся к событиям GUI
A_ThisMenuItem	Имя последнего из выбранных пунктов меню (если ничего выбрано не было - значения нет).
A_ThisMenu	Имя меню, в котором выбрана переменная A_ThisMenuItem.
A_ThisMenuItemPos	Число, указывающее текущую позицию переменной A_ThisMenuItem внутри переменной A_ThisMenu. Первый пункт меню будет равен 1, второй - 2, и т.д. Разделительные линии меню также имеют свое число.
A_ThisHotkey	Имя клавиши последней из выполненных горячих клавиш (если горячие клавиши не выполнялись, значения нет), например, #z. Это значение изменится, если текущий поток будет прерван другой горячей клавишей, поэтому, если вы хотите позднее использовать первоначальное значение в процедуре, немедленно скопируйте его в другую переменную.
A_PriorHotkey	Аналогично переменной, описанной выше. Однако, эта переменная не будет содержать значения, если перед последней выполненной горячей клавишей не была выполнена другая горячая клавиша.
A_TimeSinceThisHotkey	Количество миллисекунд, прошедших со времени нажатия последней горячей клавиши (с тех пор, как была нажата клавиша A_ThisHotkey). Каждый раз, когда переменная A_ThisHotkey не будет содержать значений, значение данной переменной будет равно 1.
A_TimeSincePriorHotkey	Количество миллисекунд, прошедших со времени нажатия горячей клавиши, предшествовавшей последней выполненной горячей клавише. Каждый раз, когда переменная A_PriorHotkey не будет содержать значений, значение данной переменной будет равно 1.
A_EndChar	Конечный символ, нажатый пользователем для запуска последней строки автозамены, не являющейся простой автозаменой (auto-replace hotstring). Если в конечном символе необходимости не было (благодаря опции *), данная переменная не будет содержать значения.
A_OSType	Тип запущенной операционной системы. Или WIN32_WINDOWS (т.е. Win95/98/ME), или WIN32_NT (т.е. WinNT, Win2k, WinXP и, возможно, более поздние).
A_OSVersion	Одна из следующих строк: WIN_2003, WIN_XP, WIN_2000, WIN_NT4, WIN_95, WIN_98, WIN_ME.
A_Language	Язык по умолчанию системы, один из таблицы языков (см. здесь ссылку в оригинале статьи).
A_ComputerName	Сетевое имя компьютера.
A_UserName	Имя текущего пользователя, под которым он вошел в систему.
A_WinDir	Каталог windows (в версиях от 1.0.23 и выше). Например: C:\Windows.
A_ProgramFiles	Каталог Program Files (в версиях от 1.0.23 и выше). Например: C:\Program Files.
A_Desktop	Полный путь и имя папки, содержащей файлы рабочего стола текущего пользователя (в версиях от 1.0.24 и выше).
A_DesktopCommon	Полный путь и имя папки, содержащей файлы рабочего стола всех пользователей (в версиях от 1.0.24 и выше).
A_StartMenu	Полный путь и имя папки меню Пуск текущего пользователя (в версиях от 1.0.24 и выше).
A_StartMenuCommon	Полный путь и имя папки меню Пуск всех пользователей (в версиях от 1.0.24 и выше).
A_Programs	Полный путь и имя папки Программы в меню Пуск текущего пользователя (в версиях от 1.0.24 и выше).
A_ProgramsCommon	Полный путь и имя папки Программы в меню Пуск всех пользователей (в версиях от 1.0.24 и выше).
A_Startup	Полный путь и имя папки Автозагрузка в меню Пуск текущего пользователя (в версиях от 1.0.24 и выше).
A_StartupCommon	Полный путь и имя папки Автозагрузка в меню Пуск всех пользователей (в версиях от 1.0.24 и выше).
A_MyDocuments	Полный путь и имя папки Мои Документы текущего пользователя. В отличие от большинства подобных переменных, в случае, если папка является корневой папкой диска, конечный обратный слеш не включается. Например, переменная будет содержать значение M:, а не M:\ 
A_IsAdmin	Если у текущего пользователя есть права администратора, переменная содержит значение 1. Иначе - 0. В Windows 95/98/Me данная переменная всегда содержит значение 1.
A_ScreenWidth	Длина основного монитора в пикселях (напр. 1024 на 768). Чтобы найти размеры других мониторов в мульти-мониторной системе, используйте команду SysGet.
A_ScreenHeight	Ширина основного монитора в пикселях (напр. 1024 на 768). Чтобы найти размеры других мониторов в мульти-мониторной системе, используйте команду SysGet.
A_IPAddress1	IP-адрес первого сетевого адаптера в компьютере.
A_IPAddress2	IP-адрес второго сетевого адаптера в компьютере.
A_IPAddress3	IP-адрес третьего сетевого адаптера в компьютере.
A_IPAddress4	IP-адрес четвертого сетевого адаптера в компьютере.
A_Index	Число повторений цикла. Например, когда скрипт первый раз исполняет тело цикла, переменная содержит число 1.
A_LoopFileName, и т.д.	Эта и другие схожие переменные действуют только в пределах файлового цикла.
A_LoopRegName, и т.д.	Назовите к настоящему времени извлеченный пункт, который может быть или имя величины или имя подключа. Имена Величины отображались Windows RegEdit как "(Default)" будет извлечено если величина назначена им, но A_LoopRegName будет чист для них. 
A_LoopRegType	Тип к настоящему времени извлеченного пункта, который - одно из следующих слова: КЛЮЧ (то есть. к настоящему времени извлеченный пункт является подключом не величина), REG_SZ, REG_EXPAND_SZ, REG_MULTI_SZ, REG_DWORD, REG_QWORD, REG_BINARY, REG_LINK, REG_RESOURCE_LIST, REG_FULL_RESOURCE_DESCRIPTOR, REG_RESOURCE_REQUIREMENTS_LIST, REG_DWORD_BIG_ENDIAN (вероятно редкий в большинстве аппаратных средствах Окна). Это будет пустым если к настоящему времени извлеченный пункт - неизвестного типа. 
A_LoopRegKey	Имя корневого доступного ключа (HKEY_LOCAL_MACHINE, HKEY_USERS, HKEY_CURRENT_USER, HKEY_CLASSES_ROOT, или HKEY_CURRENT_CONFIG). Для дистанционного доступа регистрации, эта величина будет нет включите компьютерное имя.
A_LoopRegSubKey	Назовите текущий SubKey. Это будет таким же как и the Ключ параметр если the Recurse параметр используется, чтобы рекурсивно изучать другие подключи. В этом случае, это будет полным путем к настоящему времени извлеченного пункта, не включая корневой ключ. Например: Software\SomeApplication\My SubKey
A_LoopRegTimeModified	Время текущий подключ или любая из своих величин последний раз были модифицированы. Формат YYYYMMDDHH24MISS. Эта переменная будет пустой если к настоящему времени извлеченный пункт не является подключом (то есть. A_LoopRegType - не слово KEY) или если операционная система - Win9x (поскольку Win9x не прослеживает это инфо).
A_LoopReadLine	Используется в цикле чтения файла.
A_LoopField	Используется в цикле парсинга строки.
A_Cursor	Тип курсора мыши, отображаемого в данный момент на экране. Значением может быть одно из следующих слов: AppStarting, Arrow, Cross, Help, IBeam, Icon, No, Size, SizeAll, SizeNESW, SizeNS, SizeNWSE, SizeWE, UpArrow, Wait, Unknown. Акронимы, которые используются с курсорами, отображающимися во время изменения размеров объектов, указывают на стороны света, напр. NESW = NorthEast+SouthWest (северо-восток + юго-запад). Курсоры в форме руки (указывающей и хватающей) классифицируются как неизвестные.
A_CaretX	Текущая координата X каретки, т.е. точки вставки текста. Координаты относятся к активному окну, за исключением случаев, когда с помощью команды CoordMode их относят ко всему экрану. Если активного окна не существует, или позиция каретки не может быть определена, у переменных нет значений.
A_CaretY	Текущая координата Y каретки, т.е. точки вставки текста. Координаты относятся к активному окну, за исключением случаев, когда с помощью команды CoordMode их относят ко всему экрану. Если активного окна не существует, или позиция каретки не может быть определена, у переменных нет значений.
Clipboard	Содержимое буфера обмена операционной системы, доступное для чтения и записи.
ClipboardAll	Все содержимое буфера обмена (например, форматирование и текст).
ErrorLevel	См. раздел ErrorLevel
A_LastError	Встроенная переменная A_LastError содержит результат операционной системы GetLastError функции(), который называется немедленно после того, как функция будет названа (это не имеет измеримое влияние в исполнении). A_LastError - число между 0 и 4294967295 (всегда отформатированное как десятичное, не шестнадцатеричное). Подобно ErrorLevel, A_LastError - установка вне потока; то есть, прерывание другим потоком не может изменить это. Тем не менее, A_LastError - также устанавливается в  Run/RunWait.
A_LoopFileName	Имя файла или папки, извлеченное к настоящему времени  (без пути).
A_LoopFileExt	Файловое расширение (напр.TXT, DOC, or EXE).Точка не входит.
A_LoopFileFullPath	Полный путь и имя файла/папки к настоящему времени извлекались. Тем не менее, если FilePattern содержит относительный путь а не абсолютный путь, путь здесь также будет относительным. Кроме того, любая короткая (8.3) папка называет в FilePattern все еще быть коротко
A_LoopFileLongPath	Это другое чем A_LoopFileFullPath в следующих путях: 1) Это всегда содержит абсолютный/полный путь файла даже если бы FilePattern содержит относительный путь; 2) Любая короткая (8.3) папка называет в FilePattern сам преобразованы в их длинные имена; 3) Символы в FilePattern преобразованы в верхний регистр или верхний регистр, чтобы соответствовать случаю сохраненному в файловой системе
A_LoopFileShortPath	8.3 Коротких путей и имя файла/папки к настоящему времени извлекались. Например: C:\MYDOCU~1\ADDRES~1.txt. Тем не менее, если FilePattern содержит относительный путь а не абсолютный путь, путь здесь также будет относительным.
A_LoopFileShortName	8.3 Коротких имен, или альтернативное имя файла. Если файл не имеет один (из-за длинного имени короче чем 8.3 или возможно поскольку короткое имя поколения выведены из строя в файловую систему NTFS), A_LoopFileName извлечется взамен.
A_LoopFileDir	Полный путь директория в котором A_LoopFileName находится. Тем не менее, если FilePattern содержит относительный путь а не абсолютный путь, путь здесь также будет относительным. Корневой директорий не будет содержать конечную обратную косую черту.
A_LoopFileTimeModified	Время, когда файл последний раз был модифицирован. Формат YYYYMMDDHH24MISS.
A_LoopFileTimeCreated	Время, когда файл был создан. Формат YYYYMMDDHH24MISS
A_LoopFileTimeAccessed	Время, когда файл был последним доступным. Формат YYYYMMDDHH24MISS.
A_LoopFileAttrib	Атрибуты файла к настоящему времени извлеченного.
A_LoopFileSize	Размер в байтах файла, который к настоящему времени извлекался. Файлы больше чем 4 гигабайта также поддерживаются.
A_LoopFileSizeKB	Размер в Килобайтах файла, который к настоящему времени извлекался.
A_LoopFileSizeMB	Размер в Мегабайтах файла, который к настоящему времени извлекался.

